# Created on Mon 03/27/17 14:33:26 by Joshua G. Albert
# ITRS(m)
# X	Y	Z	diameter	labels
3.826896235e+06	4.609794550e+05	5.064658203e+06	3.1263e+01	CS001HBA0
3.826979384e+06	4.608975970e+05	5.064603189e+06	3.1262e+01	CS001HBA1
3.826600961e+06	4.609534020e+05	5.064881136e+06	3.1261e+01	CS002HBA0
3.826565594e+06	4.609581100e+05	5.064907258e+06	3.1260e+01	CS002HBA1
3.826471348e+06	4.610001380e+05	5.064974201e+06	3.1262e+01	CS003HBA0
3.826517812e+06	4.610352580e+05	5.064936150e+06	3.1261e+01	CS003HBA1
3.826585626e+06	4.608658440e+05	5.064900561e+06	3.1261e+01	CS004HBA0
3.826579486e+06	4.609174800e+05	5.064900502e+06	3.1261e+01	CS004HBA1
3.826701160e+06	4.609892500e+05	5.064802685e+06	3.1261e+01	CS005HBA0
3.826631194e+06	4.610218150e+05	5.064852259e+06	3.1261e+01	CS005HBA1
3.826653783e+06	4.611364400e+05	5.064824943e+06	3.1262e+01	CS006HBA0
3.826612499e+06	4.610802980e+05	5.064861006e+06	3.1261e+01	CS006HBA1
3.826478715e+06	4.610837200e+05	5.064961117e+06	3.1260e+01	CS007HBA0
3.826538021e+06	4.611697310e+05	5.064908827e+06	3.1261e+01	CS007HBA1
3.826637421e+06	4.612273450e+05	5.064829134e+06	3.1261e+01	CS011HBA0
3.826648961e+06	4.613542410e+05	5.064809003e+06	3.1261e+01	CS011HBA1
3.826318954e+06	4.608561250e+05	5.065101850e+06	3.1262e+01	CS013HBA0
3.826402103e+06	4.607742670e+05	5.065046836e+06	3.1263e+01	CS013HBA1
3.826405095e+06	4.615074600e+05	5.064978083e+06	3.1261e+01	CS017HBA0
3.826499783e+06	4.615524980e+05	5.064902938e+06	3.1261e+01	CS017HBA1
3.826463502e+06	4.605330940e+05	5.065022614e+06	3.1261e+01	CS021HBA0
3.826368813e+06	4.604880570e+05	5.065097759e+06	3.1261e+01	CS021HBA1
3.827218193e+06	4.614038980e+05	5.064378790e+06	3.1261e+01	CS024HBA0
3.827123504e+06	4.613588610e+05	5.064453935e+06	3.1261e+01	CS024HBA1
3.826418227e+06	4.618058370e+05	5.064941199e+06	3.1261e+01	CS026HBA0
3.826335078e+06	4.618876960e+05	5.064996213e+06	3.1261e+01	CS026HBA1
3.825573134e+06	4.613246070e+05	5.065619039e+06	3.1262e+01	CS028HBA0
3.825656283e+06	4.612427490e+05	5.065564025e+06	3.1262e+01	CS028HBA1
3.826041577e+06	4.603233740e+05	5.065357614e+06	3.1261e+01	CS030HBA0
3.825958428e+06	4.604052330e+05	5.065412628e+06	3.1261e+01	CS030HBA1
3.826383037e+06	4.602793430e+05	5.065105850e+06	3.1262e+01	CS031HBA0
3.826477725e+06	4.603243810e+05	5.065030705e+06	3.1262e+01	CS031HBA1
3.826864262e+06	4.604519240e+05	5.064730006e+06	3.1262e+01	CS032HBA0
3.826947411e+06	4.603700660e+05	5.064674992e+06	3.1262e+01	CS032HBA1
3.825899977e+06	4.616989060e+05	5.065339205e+06	3.1260e+01	CS101HBA0
3.825805288e+06	4.616538690e+05	5.065414350e+06	3.1261e+01	CS101HBA1
3.826331590e+06	4.627590740e+05	5.064919620e+06	3.1261e+01	CS103HBA0
3.826248441e+06	4.628409330e+05	5.064974634e+06	3.1261e+01	CS103HBA1
3.826679281e+06	4.618552430e+05	5.064741380e+06	3.1262e+01	CS201HBA0
3.826690821e+06	4.619821390e+05	5.064721249e+06	3.1261e+01	CS201HBA1
3.827442564e+06	4.610508140e+05	5.064242391e+06	3.1261e+01	CS301HBA0
3.827431025e+06	4.609239190e+05	5.064262521e+06	3.1261e+01	CS301HBA1
3.827973226e+06	4.597286240e+05	5.063975300e+06	3.1261e+01	CS302HBA0
3.827890077e+06	4.598104830e+05	5.064030313e+06	3.1262e+01	CS302HBA1
3.826795752e+06	4.601588940e+05	5.064808929e+06	3.1264e+01	CS401HBA0
3.826784211e+06	4.600319930e+05	5.064829062e+06	3.1270e+01	CS401HBA1
3.825568820e+06	4.606476200e+05	5.065683028e+06	3.1261e+01	CS501HBA0
3.825663508e+06	4.606926580e+05	5.065607883e+06	3.1262e+01	CS501HBA1
3.829205598e+06	4.691425330e+05	5.062181002e+06	3.1261e+01	RS106HBA
3.831479670e+06	4.634875290e+05	5.060989903e+06	3.1260e+01	RS205HBA
3.847753310e+06	4.669628090e+05	5.048397244e+06	3.1261e+01	RS208HBA
3.877827562e+06	4.675366050e+05	5.025445584e+06	3.1262e+01	RS210HBA
3.828732721e+06	4.546924210e+05	5.063850334e+06	3.1261e+01	RS305HBA
3.829771249e+06	4.527617020e+05	5.063243181e+06	3.1260e+01	RS306HBA
3.837964520e+06	4.496272610e+05	5.057357585e+06	3.1261e+01	RS307HBA
3.845376290e+06	4.136165640e+05	5.054796341e+06	3.1261e+01	RS310HBA
3.818424939e+06	4.520202690e+05	5.071817644e+06	3.1260e+01	RS406HBA
3.811649455e+06	4.534598940e+05	5.076728952e+06	3.1262e+01	RS407HBA
3.824812621e+06	4.261303300e+05	5.069251754e+06	3.1262e+01	RS409HBA
3.824138566e+06	4.594769720e+05	5.066858578e+06	3.1261e+01	RS503HBA
3.797136484e+06	4.631144470e+05	5.086651286e+06	3.1261e+01	RS508HBA
3.783537525e+06	4.501300640e+05	5.097866146e+06	3.1260e+01	RS509HBA
